"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000201458.1",0,0,0,0,0,1,0,0
"ENSG00000227440.1",0,1,1,0,2,1,2,0
"ENSG00000237501.1",0,0,0,0,0,0,0,0
"ENSG00000144962.6",0,0,0,0,0,0,0,0
"ENSG00000237473.1",0,0,0,0,0,0,0,0
"ENSG00000169760.17",52,42,49,23,11,48,122,154
"ENSG00000237645.1",0,0,0,0,0,0,0,0
"ENSG00000228213.5",0,0,0,0,0,0,0,0
"ENSG00000252982.1",0,0,0,0,0,0,0,0
"ENSG00000232601.1",0,0,0,0,0,0,0,0
"ENSG00000213169.3",4,5,1,5,5,8,1,5
"ENSG00000177694.15",306,151,397,171,373,484,404,266
"ENSG00000253020.2",0,0,0,0,0,0,0,0
"ENSG00000230497.2",0,0,0,0,0,0,0,0
"ENSG00000230292.5",0,0,0,0,0,0,0,0
"ENSG00000226779.1",0,0,1,0,0,0,0,0
"ENSG00000264974.1",0,0,0,0,0,0,0,0
"ENSG00000199792.1",0,0,0,0,0,0,0,0
"ENSG00000201648.1",0,0,0,0,0,0,0,0
"ENSG00000236241.1",0,0,0,0,0,0,0,0
"ENSG00000214192.3",39,32,18,19,23,41,13,25
"ENSG00000201452.1",0,0,0,0,0,0,0,0
"ENSG00000225552.1",0,0,0,0,0,0,0,0
"ENSG00000260217.1",0,0,0,0,0,0,0,0
"ENSG00000230362.1",0,0,2,0,0,1,0,0
"ENSG00000236357.1",0,0,0,0,0,0,0,0
"ENSG00000271413.1",0,0,0,0,0,0,0,0
"ENSG00000238026.1",0,0,0,0,0,0,0,0
"ENSG00000283333.1",0,0,0,0,0,0,0,0
"ENSG00000223715.1",0,0,0,0,0,0,0,0
"ENSG00000232461.1",0,0,0,0,0,0,0,0
"ENSG00000252302.1",0,0,0,0,0,0,0,0
"ENSG00000228308.1",0,0,0,0,0,0,0,0
"ENSG00000231888.1",0,0,0,0,0,0,0,0
"ENSG00000177565.16",2361,1758,3108,1552,3101,3102,2503,1794
"ENSG00000231310.3",0,0,2,0,0,0,0,0
"ENSG00000201343.1",0,0,0,0,0,0,0,0
"ENSG00000200882.1",0,0,0,0,0,0,0,0
"ENSG00000203645.2",1,1,0,1,0,3,0,0
"ENSG00000236893.1",0,0,0,0,0,0,0,0
"ENSG00000226782.2",0,0,0,0,0,0,0,0
"ENSG00000228221.5",375,399,802,509,607,1832,387,424
"ENSG00000252028.1",0,0,0,0,0,0,0,0
"ENSG00000236385.1",0,0,1,0,0,1,0,1
"ENSG00000200288.1",0,0,0,0,0,0,0,0
"ENSG00000228561.2",20,22,80,50,56,122,37,45
"ENSG00000277241.1",0,5,6,6,6,13,0,3
"ENSG00000231574.5",18,24,41,42,20,90,31,67
"ENSG00000225790.1",3,7,18,7,4,19,6,19
"ENSG00000270321.1",0,0,0,0,0,1,0,0
"ENSG00000199858.1",0,0,0,0,0,0,0,0
"ENSG00000223930.5",8,10,28,30,16,21,12,22
"ENSG00000197584.11",0,0,0,0,3,0,0,1
"ENSG00000275163.1",0,0,0,0,0,0,0,0
"ENSG00000223941.5",0,0,0,0,0,0,0,0
"ENSG00000252336.1",0,0,0,0,0,0,0,0
"ENSG00000271131.1",0,0,0,0,0,0,0,0
"ENSG00000237978.5",1,0,1,1,2,0,0,0
"ENSG00000172667.10",5053,3459,5647,2238,5801,5159,4528,3054
"ENSG00000200616.1",0,0,0,0,0,0,0,0
"ENSG00000229102.1",0,0,0,0,0,0,0,0
"ENSG00000121879.4",850,995,883,834,1025,1483,732,1271
"ENSG00000201957.1",0,0,0,0,0,1,0,0
"ENSG00000171121.16",31,27,39,21,57,60,35,46
"ENSG00000240429.1",22,20,32,23,34,65,21,27
"ENSG00000121864.9",444,377,402,255,506,579,374,372
"ENSG00000260743.1",1,10,5,8,6,9,3,4
"ENSG00000171109.18",785,807,910,640,1133,1521,818,928
"ENSG00000114450.9",1182,1599,999,1385,1067,2349,911,2027
"ENSG00000242539.2",0,0,0,0,0,0,0,0
"ENSG00000272699.1",0,2,2,0,0,1,1,1
"ENSG00000239255.1",0,0,0,0,0,0,0,0
"ENSG00000181260.8",1,1,1,1,2,0,0,0
"ENSG00000136518.16",499,436,478,285,577,681,355,358
"ENSG00000272910.1",5,4,4,1,4,2,3,4
"ENSG00000272660.1",1,0,0,1,1,1,0,2
"ENSG00000136522.13",327,324,385,253,381,508,264,244
"ENSG00000136521.12",804,681,965,604,968,1082,641,701
"ENSG00000239096.1",0,1,0,0,0,0,0,0
"ENSG00000243977.1",0,0,0,0,0,0,0,0
"ENSG00000058056.8",349,347,400,356,475,742,387,471
"ENSG00000114757.18",8,4,11,7,11,8,20,13
"ENSG00000270178.1",0,0,0,0,1,0,0,0
"ENSG00000243799.1",0,0,0,0,0,0,0,0
"ENSG00000244302.1",0,0,0,0,0,0,0,0
"ENSG00000201822.1",0,0,0,0,0,0,0,0
"ENSG00000282327.1",0,0,0,0,0,0,0,0
"ENSG00000213158.6",0,0,0,0,0,0,0,0
"ENSG00000239880.1",15,22,13,9,5,13,9,18
"ENSG00000241696.1",0,0,0,0,0,0,0,0
"ENSG00000201810.1",0,0,0,0,0,0,0,0
"ENSG00000239774.1",2,0,1,0,1,0,0,2
"ENSG00000199986.1",0,0,0,0,0,0,0,0
"ENSG00000241946.1",0,0,0,0,0,0,0,0
"ENSG00000163728.10",1129,1070,1209,685,1427,1920,1006,1109
"ENSG00000284862.1",14,10,20,16,15,27,9,31
"ENSG00000145075.12",41,39,50,43,45,45,39,57
"ENSG00000243187.1",1,0,3,2,1,0,1,1
"ENSG00000285336.1",80,82,212,145,67,73,159,172
"ENSG00000242811.3",0,0,0,0,1,2,0,0
"ENSG00000242068.1",9,8,17,7,20,16,6,7
"ENSG00000241473.1",0,1,0,0,0,0,0,0
"ENSG00000239516.1",0,0,0,0,0,0,0,0
"ENSG00000114416.17",2864,2432,3553,2129,3960,3848,2668,2970
"ENSG00000213157.3",0,0,1,0,0,1,1,1
"ENSG00000205981.7",327,347,400,304,395,514,300,410
"ENSG00000242808.8",5,2,2,2,4,4,5,6
"ENSG00000242140.1",2,1,2,0,0,0,0,0
"ENSG00000206932.1",1,0,4,1,2,7,8,2
"ENSG00000237806.1",0,0,1,0,0,0,0,0
"ENSG00000241231.1",0,0,0,0,0,0,0,0
"ENSG00000235294.1",0,0,0,0,0,0,0,0
"ENSG00000239381.6",0,0,0,1,0,0,0,1
"ENSG00000276074.1",0,0,0,0,0,0,0,0
"ENSG00000276690.1",0,0,0,0,0,0,0,0
"ENSG00000181449.3",1,1,1,0,0,0,0,0
"ENSG00000278026.1",0,0,0,0,0,0,0,0
"ENSG00000266317.2",0,0,0,0,0,0,0,0
"ENSG00000199839.1",0,0,0,0,0,0,0,0
"ENSG00000285546.1",0,0,0,0,0,0,0,0
"ENSG00000239805.1",0,0,0,0,0,0,0,0
"ENSG00000213155.4",0,1,2,0,2,3,1,0
"ENSG00000242512.8",0,0,0,0,0,0,0,0
"ENSG00000252257.1",0,0,0,0,0,0,0,0
"ENSG00000240478.1",0,0,0,0,0,0,0,0
"ENSG00000242012.1",0,0,0,0,0,0,0,0
"ENSG00000241098.1",0,0,0,0,0,0,0,0
"ENSG00000244199.1",0,0,0,0,0,1,0,0
"ENSG00000244247.1",0,0,0,0,0,0,0,0
"ENSG00000228766.3",9,8,19,11,32,34,14,10
"ENSG00000238837.3",0,0,0,0,0,0,0,0
"ENSG00000243378.1",0,0,0,0,0,0,0,0
"ENSG00000260377.1",0,0,0,0,0,0,0,0
"ENSG00000240063.1",0,0,0,1,1,0,0,0
"ENSG00000058063.15",1328,1552,1710,1211,1656,2383,1520,2128
"ENSG00000270554.1",0,0,0,0,0,0,0,0
"ENSG00000273261.1",1,0,1,4,3,6,8,4
"ENSG00000043093.13",701,617,716,504,824,971,585,668
"ENSG00000244346.1",1,0,0,0,0,2,0,1
"ENSG00000078070.12",391,534,603,490,515,688,428,710
"ENSG00000243368.2",10,9,16,8,12,12,8,11
"ENSG00000078081.7",36,23,13,1,2,5,4,2
"ENSG00000053524.12",4,11,1,1,7,9,5,6
"ENSG00000176597.11",121,235,58,67,134,259,131,213
"ENSG00000202502.1",0,1,0,0,0,1,0,0
"ENSG00000240024.5",21,10,38,12,29,28,14,9
"ENSG00000201229.1",0,0,0,0,0,0,0,0
"ENSG00000253092.1",1,0,0,0,0,2,0,0
"ENSG00000199363.1",0,0,0,0,0,0,0,0
"ENSG00000251730.1",0,2,0,0,0,0,0,0
"ENSG00000271682.1",0,0,0,0,0,0,0,0
"ENSG00000172578.11",0,0,0,1,1,0,0,0
"ENSG00000242522.1",0,0,0,0,0,0,0,0
"ENSG00000243584.1",0,0,0,0,0,0,1,0
"ENSG00000114796.15",1323,1014,1156,1103,1319,1147,1292,1641
"ENSG00000163872.15",1514,1243,1385,835,1640,2585,1217,1195
"ENSG00000233885.7",12,13,11,3,16,11,10,1
"ENSG00000283765.1",0,0,0,0,0,0,0,0
"ENSG00000180834.7",5,3,2,1,2,4,4,3
"ENSG00000175193.13",92,97,104,86,93,119,84,102
"ENSG00000234371.6",2,2,3,1,2,2,0,1
"ENSG00000263932.1",0,0,0,0,0,0,0,0
"ENSG00000233441.6",0,0,0,0,0,0,0,0
"ENSG00000114770.16",1030,912,1073,842,1313,1803,913,1400
"ENSG00000223882.1",0,0,0,0,0,0,1,1
"ENSG00000223529.1",55,49,86,35,46,73,61,59
"ENSG00000186090.10",0,0,0,1,0,0,0,0
"ENSG00000178084.1",0,0,0,0,0,0,0,0
"ENSG00000233576.1",0,0,0,0,0,0,1,0
"ENSG00000207351.1",0,0,0,0,0,0,0,0
"ENSG00000238020.1",0,0,0,0,0,0,0,0
"ENSG00000186038.9",0,0,0,0,0,0,0,0
"ENSG00000205955.4",0,1,0,0,2,1,0,0
"ENSG00000273181.1",1,0,0,0,0,2,3,0
"ENSG00000272721.5",4,0,5,0,2,1,1,2
"ENSG00000145191.13",587,598,662,394,712,870,450,559
"ENSG00000228205.1",62,56,32,15,33,40,11,20
"ENSG00000161202.18",2314,2174,2986,1703,3961,4164,2452,2629
"ENSG00000161203.13",7879,7945,9428,5435,11030,13798,6557,7146
"ENSG00000161204.11",777,641,983,467,973,1185,647,643
"ENSG00000145198.14",1,2,1,0,0,2,0,0
"ENSG00000221120.1",0,0,0,0,0,0,0,0
"ENSG00000214160.9",381,400,409,276,534,785,311,390
"ENSG00000284753.1",10,13,5,8,10,27,7,12
"ENSG00000284917.1",0,0,0,0,0,0,0,0
"ENSG00000163888.3",5,6,5,1,13,7,4,5
"ENSG00000145194.18",0,0,0,0,0,0,0,0
"ENSG00000175166.16",4782,3906,4955,2879,4865,5722,3679,3480
"ENSG00000114867.20",7250,7499,8721,5220,9163,13830,6292,7225
"ENSG00000212158.1",0,1,0,0,0,0,0,0
"ENSG00000175182.14",270,321,267,172,247,375,240,296
"ENSG00000114859.15",61,54,72,26,60,73,62,58
"ENSG00000163882.9",446,416,437,209,412,606,310,327
"ENSG00000090534.19",23,24,40,25,15,8,17,20
"ENSG00000090539.15",193,205,402,177,209,246,189,250
"ENSG00000224153.3",0,0,0,0,0,0,0,0
"ENSG00000283625.1",0,0,0,0,0,0,0,0
"ENSG00000227509.1",0,0,0,0,0,0,0,0
"ENSG00000230215.1",0,0,0,0,0,0,0,0
"ENSG00000182580.2",848,338,632,108,630,319,551,137
"ENSG00000177383.4",521,402,574,232,506,536,447,365
"ENSG00000272970.1",8,2,17,3,12,5,7,3
"ENSG00000273403.1",2,1,6,0,3,3,2,1
"ENSG00000272922.1",1,1,1,0,1,1,1,1
"ENSG00000229433.1",0,0,0,0,0,0,0,0
"ENSG00000156931.15",929,611,1127,485,1237,921,866,648
"ENSG00000187068.2",7,6,17,12,6,10,9,5
"ENSG00000223358.5",0,0,0,0,0,0,0,0
"ENSG00000113790.10",129,127,205,132,121,185,107,154
"ENSG00000229704.1",0,1,0,0,0,2,0,0
"ENSG00000264614.1",0,0,0,0,0,0,0,0
"ENSG00000073803.13",228,222,292,206,292,402,224,230
"ENSG00000229638.1",2150,2230,2656,1171,2745,2616,1461,1440
"ENSG00000163900.10",238,249,341,244,251,399,245,305
"ENSG00000163898.9",0,0,7,4,2,6,4,4
"ENSG00000163904.12",851,703,878,671,1022,1126,739,819
"ENSG00000236489.1",2,0,1,0,0,3,3,2
"ENSG00000073792.15",1713,2573,1795,1847,2703,4727,1598,3225
"ENSG00000163915.7",0,1,0,0,0,2,1,1
"ENSG00000265470.1",0,0,0,0,0,0,0,0
"ENSG00000136527.17",1404,1231,1684,827,1569,1829,1165,1287
"ENSG00000171658.8",71,51,50,47,182,86,35,39
"ENSG00000244405.7",372,377,465,501,319,812,403,797
"ENSG00000277118.1",0,0,0,0,0,0,0,0
"ENSG00000234197.1",2,1,1,1,1,1,1,1
"ENSG00000058866.14",1,0,0,0,0,0,0,0
"ENSG00000234548.5",0,0,0,0,0,0,0,0
"ENSG00000224406.5",0,0,1,0,0,0,0,0
"ENSG00000226859.1",1,0,3,0,1,0,0,0
"ENSG00000213139.7",33,29,51,31,51,46,36,44
"ENSG00000113838.12",150,127,180,116,155,217,126,126
"ENSG00000090520.11",532,453,622,357,652,1237,505,422
"ENSG00000197099.8",2,1,1,0,3,2,3,0
"ENSG00000283149.1",0,0,0,0,0,0,0,0
"ENSG00000283390.1",7,8,5,7,6,8,3,3
"ENSG00000145192.12",0,0,0,0,0,0,1,0
"ENSG00000275696.1",0,0,0,0,0,0,0,0
"ENSG00000090512.11",1,0,0,0,0,0,0,0
"ENSG00000113905.4",0,0,0,1,1,0,0,0
"ENSG00000225175.1",0,0,0,0,0,0,0,0
"ENSG00000226724.1",0,0,0,0,0,0,0,0
"ENSG00000113889.13",0,0,0,0,0,0,0,0
"ENSG00000226652.3",0,0,0,0,0,0,0,0
"ENSG00000207505.1",0,0,0,0,0,0,0,0
"ENSG00000230951.1",0,0,1,0,0,0,0,0
"ENSG00000263826.1",17,8,19,8,18,23,4,11
"ENSG00000156976.16",6425,5413,7857,3860,7789,7829,6079,5854
"ENSG00000238942.1",0,0,0,0,0,0,0,0
"ENSG00000200418.1",0,0,0,0,0,0,0,0
"ENSG00000283958.1",0,0,0,0,0,0,0,0
"ENSG00000221420.2",0,0,0,0,0,0,0,0
"ENSG00000200320.1",0,0,0,0,0,0,0,0
"ENSG00000263776.1",0,0,0,0,0,0,0,0
"ENSG00000163918.10",155,117,134,70,135,123,95,90
"ENSG00000231724.1",0,0,0,1,0,0,0,0
"ENSG00000232233.1",3,1,5,2,3,3,8,1
"ENSG00000231982.1",8,9,5,1,2,3,7,3
"ENSG00000181092.9",0,0,0,0,0,0,0,0
"ENSG00000226482.1",0,0,0,0,0,0,0,0
"ENSG00000223803.1",68,61,30,20,39,34,26,12
"ENSG00000233565.1",0,0,3,0,2,1,0,0
"ENSG00000073849.14",20,12,38,23,34,29,27,19
"ENSG00000163923.9",118,108,127,61,111,142,94,120
"ENSG00000198491.3",2,0,1,0,0,1,0,1
"ENSG00000175077.5",0,0,1,0,0,0,2,0
"ENSG00000127241.16",6378,4329,9587,5138,9114,9154,11651,10191
"ENSG00000283175.1",134,147,136,115,140,172,111,158
"ENSG00000136514.2",86,45,94,44,35,24,55,49
"ENSG00000280270.1",0,0,2,1,0,0,0,0
"ENSG00000239093.1",0,0,1,0,0,0,0,0
"ENSG00000228952.1",2,2,1,0,0,0,3,0
"ENSG00000157005.3",5,2,22,0,4,2,0,3
"ENSG00000198471.1",1,1,0,0,0,0,1,1
"ENSG00000228804.5",1,1,1,1,2,2,0,1
"ENSG00000113916.17",1318,1871,1640,1607,1483,2632,1104,2475
"ENSG00000285938.1",25,41,28,29,34,84,22,75
"ENSG00000224049.1",0,0,0,0,0,0,0,0
"ENSG00000236864.1",0,0,0,0,0,0,0,0
"ENSG00000224187.1",0,0,0,0,0,0,0,0
"ENSG00000225058.1",0,0,0,0,0,0,0,0
"ENSG00000236412.1",0,0,0,0,0,0,0,0
"ENSG00000234238.1",0,0,0,0,0,0,0,0
"ENSG00000270959.1",68,59,88,58,62,128,68,58
"ENSG00000145012.13",4062,4252,4746,3347,4638,12060,3619,4365
"ENSG00000279891.1",0,0,0,0,0,1,0,0
"ENSG00000224563.1",0,0,0,0,0,0,0,0
"ENSG00000207651.1",0,0,0,0,0,0,0,0
"ENSG00000234076.1",3,2,3,1,0,3,0,0
"ENSG00000188001.9",6,7,18,16,4,1,8,9
"ENSG00000236182.1",0,0,0,1,0,0,0,1
"ENSG00000230115.1",0,0,0,0,0,0,0,0
"ENSG00000073282.12",0,0,0,0,1,0,0,1
"ENSG00000227971.1",0,0,0,0,0,0,0,0
"ENSG00000216058.1",0,0,0,0,0,0,0,0
"ENSG00000090530.9",77,46,170,80,136,120,64,59
"ENSG00000230077.1",1,1,0,0,0,0,1,0
"ENSG00000225764.1",0,0,0,0,0,0,0,0
"ENSG00000212489.1",0,0,0,0,0,0,0,0
"ENSG00000238077.1",0,0,0,0,0,0,0,0
"ENSG00000163347.5",3,0,5,1,11,1,2,0
"ENSG00000113946.3",0,1,1,0,0,0,0,0
"ENSG00000198398.2",0,0,0,0,0,0,0,0
"ENSG00000196083.9",130,109,141,76,281,381,162,161
"ENSG00000231047.1",0,0,1,0,0,0,0,0
"ENSG00000223117.1",1,0,0,0,0,0,1,1
"ENSG00000273370.1",0,0,0,0,0,0,0,0
"ENSG00000228730.1",0,0,0,0,0,0,0,0
"ENSG00000232610.1",0,0,0,0,0,0,0,0
"ENSG00000214147.2",0,0,0,1,0,1,0,0
"ENSG00000205835.8",0,2,5,1,8,26,4,8
"ENSG00000188729.6",1,0,11,5,3,0,4,1
"ENSG00000233308.1",0,1,5,1,3,0,3,1
"ENSG00000188958.9",24,19,46,22,55,59,21,21
"ENSG00000152492.14",2971,2780,3624,1998,3351,4695,1936,2340
"ENSG00000223812.6",1,0,4,0,1,0,0,1
"ENSG00000253548.1",0,0,0,0,0,0,0,0
"ENSG00000201860.1",0,0,0,0,0,0,0,0
"ENSG00000237653.2",0,0,0,0,0,0,0,0
"ENSG00000232353.5",0,0,0,0,0,0,0,0
"ENSG00000222583.1",0,0,0,0,0,0,0,0
"ENSG00000114279.13",0,1,0,1,1,2,1,0
"ENSG00000231383.2",0,0,0,0,0,0,0,0
"ENSG00000230126.1",0,0,0,0,0,0,0,0
"ENSG00000226709.1",0,0,0,0,0,0,0,0
"ENSG00000238902.1",0,0,0,0,0,0,0,0
"ENSG00000200184.1",0,0,0,0,0,0,0,0
"ENSG00000180611.6",80,111,116,73,110,202,87,143
"ENSG00000232130.1",0,0,0,0,0,0,0,0
"ENSG00000236229.1",3,3,5,2,11,5,3,4
"ENSG00000127252.5",0,2,2,1,0,1,1,1
"ENSG00000187527.10",0,1,0,0,0,0,0,0
"ENSG00000236508.1",0,0,0,0,0,0,0,0
"ENSG00000127249.14",1,4,4,2,4,4,5,7
"ENSG00000225473.1",0,0,0,0,0,0,0,0
"ENSG00000236297.1",1,3,3,2,7,0,1,1
"ENSG00000198836.9",1197,1118,1456,989,1743,2133,1251,1322
"ENSG00000224855.5",1,1,4,2,2,4,0,1
"ENSG00000207370.1",0,1,0,0,2,2,0,1
"ENSG00000243991.3",0,0,0,0,0,0,0,0
"ENSG00000223986.1",0,0,0,0,0,0,0,0
"ENSG00000229155.1",0,0,0,0,0,0,0,0
"ENSG00000214146.2",1,0,0,0,0,1,0,0
"ENSG00000238043.1",0,0,0,0,0,0,0,0
"ENSG00000224403.1",0,0,0,0,0,0,0,0
"ENSG00000230102.7",0,2,1,0,0,1,0,0
"ENSG00000276407.4",0,0,0,0,0,0,0,0
"ENSG00000229964.1",0,0,0,0,0,0,0,0
"ENSG00000232874.1",0,2,1,0,1,2,0,0
"ENSG00000114315.3",1,0,1,0,0,0,2,0
"ENSG00000242201.3",0,0,0,0,0,0,0,0
"ENSG00000225742.5",0,0,0,0,0,0,0,0
"ENSG00000238097.1",0,0,0,0,0,0,0,0
"ENSG00000228271.1",0,0,0,1,0,0,0,0
"ENSG00000214145.6",0,0,0,0,0,0,0,0
"ENSG00000178772.6",1,0,0,0,0,0,2,0
"ENSG00000172061.8",507,49,62,4,334,71,660,180
"ENSG00000178732.5",5,1,1,0,0,0,2,0
"ENSG00000133657.15",4102,3627,4498,3141,4385,7376,4842,4906
"ENSG00000271483.1",0,0,0,0,0,0,0,0
"ENSG00000233058.1",15,13,17,7,10,22,18,11
"ENSG00000244675.2",3,2,7,2,8,5,6,4
"ENSG00000252053.1",0,0,0,0,0,0,0,0
"ENSG00000232873.1",0,0,0,0,0,0,0,0
"ENSG00000231770.5",19,13,34,7,30,33,29,17
"ENSG00000145014.17",320,177,338,155,417,355,325,266
"ENSG00000229334.1",2,5,7,4,7,9,8,9
"ENSG00000272707.1",1,0,2,0,2,1,1,2
"ENSG00000041802.10",466,507,628,368,681,934,472,553
"ENSG00000185112.5",438,1006,352,369,360,656,328,1075
"ENSG00000233987.1",0,0,0,0,0,0,0,0
"ENSG00000237222.3",0,0,0,0,0,0,0,0
"ENSG00000234805.1",0,0,0,0,0,0,0,0
"ENSG00000230401.1",0,0,0,0,0,0,0,0
"ENSG00000238031.1",0,0,0,0,0,0,0,0
"ENSG00000173950.15",495,409,512,229,483,601,431,365
"ENSG00000233303.1",0,0,0,0,0,0,1,0
"ENSG00000265333.1",0,0,0,0,0,0,0,0
"ENSG00000244314.3",0,0,0,0,0,0,0,0
"ENSG00000230266.1",17,20,17,8,8,11,14,23
"ENSG00000206600.1",0,0,0,1,0,0,0,0
"ENSG00000114331.13",2174,1548,2412,1312,2942,2665,2038,1938
"ENSG00000229325.1",7,3,8,3,16,6,6,5
"ENSG00000227433.1",0,0,0,0,1,0,0,0
"ENSG00000207368.1",0,0,0,0,0,0,0,0
"ENSG00000184203.7",681,611,915,634,792,944,624,730
"ENSG00000252620.1",2,2,0,0,0,0,3,0
"ENSG00000223711.1",2,0,2,1,0,1,3,2
"ENSG00000265882.2",0,0,0,0,0,0,0,0
"ENSG00000236844.1",0,0,0,0,0,0,0,0
"ENSG00000236425.1",0,0,0,0,0,0,0,0
"ENSG00000189058.8",425,859,351,498,161,330,321,606
"ENSG00000224769.1",24,29,31,15,35,34,24,23
"ENSG00000282206.1",3,2,1,3,1,1,8,1
"ENSG00000271662.1",7,4,12,6,14,8,13,5
"ENSG00000229178.1",3,4,12,1,9,3,4,3
"ENSG00000242086.8",429,361,433,225,479,464,332,344
"ENSG00000215837.7",0,0,0,0,0,0,0,0
"ENSG00000207650.1",16,9,10,7,11,13,7,5
"ENSG00000283426.1",0,0,0,0,0,0,0,0
"ENSG00000176945.16",27,37,37,25,35,25,23,27
"ENSG00000145113.21",1,2,4,1,3,2,9,5
"ENSG00000223783.1",0,0,0,0,0,0,0,0
"ENSG00000235836.1",0,0,0,0,0,0,0,0
"ENSG00000061938.17",650,520,527,242,602,591,481,433
"ENSG00000276489.1",0,0,0,0,0,0,0,0
"ENSG00000224614.1",4,0,0,0,6,1,4,2
"ENSG00000226155.1",0,0,0,0,0,0,0,0
"ENSG00000260261.2",33,23,60,26,58,46,58,54
"ENSG00000239122.1",0,1,1,2,0,0,1,0
"ENSG00000231443.2",11,9,22,15,24,24,25,10
"ENSG00000185485.14",444,375,481,209,479,569,389,364
"ENSG00000231464.1",13,6,18,9,14,27,17,13
"ENSG00000072274.12",4192,3828,4310,2886,5425,8621,3486,3705
"ENSG00000228413.1",0,1,1,0,0,0,0,1
"ENSG00000252174.1",0,1,0,0,0,0,0,0
"ENSG00000224652.1",0,0,0,0,0,0,0,0
"ENSG00000163958.13",0,0,0,0,2,0,0,0
"ENSG00000222335.1",0,0,0,0,0,0,0,0
"ENSG00000163959.9",56,51,107,45,87,98,59,63
"ENSG00000161217.11",1882,1886,2503,1463,2239,2871,1801,2033
"ENSG00000272741.1",0,0,0,0,0,0,0,0
"ENSG00000228028.2",1,1,2,6,0,0,1,1
"ENSG00000213123.10",19,26,23,23,26,31,24,25
"ENSG00000237418.1",1,1,5,0,5,3,2,2
"ENSG00000273331.1",0,0,0,0,0,0,0,0
"ENSG00000235897.1",3,3,5,2,3,3,6,3
"ENSG00000145107.15",2,1,0,0,1,0,3,0
"ENSG00000212146.1",0,0,0,0,0,0,0,0
"ENSG00000163960.11",1624,1241,1754,1139,1877,2130,1531,1678
"ENSG00000206644.1",0,0,0,0,2,0,0,0
"ENSG00000241868.3",0,1,3,1,0,0,0,0
"ENSG00000243339.3",3,1,6,3,2,4,2,1
"ENSG00000226345.1",0,0,0,0,0,0,0,0
"ENSG00000225822.4",0,1,0,2,0,0,0,1
"ENSG00000225240.1",0,0,0,0,0,1,0,0
"ENSG00000163961.4",425,477,476,312,459,561,428,518
"ENSG00000273013.1",1,1,2,0,1,1,3,4
"ENSG00000214097.4",0,0,1,0,0,1,0,1
"ENSG00000213358.3",0,0,0,0,0,0,0,1
"ENSG00000225770.1",1,1,1,1,2,2,0,3
"ENSG00000185798.7",89,91,110,64,131,121,87,85
"ENSG00000174013.7",150,155,200,110,201,211,153,167
"ENSG00000232065.1",1,0,1,0,0,1,0,1
"ENSG00000174004.5",11,5,8,4,5,7,8,9
"ENSG00000163964.14",168,183,196,119,191,270,169,197
"ENSG00000174007.7",95,94,102,74,113,108,90,90
"ENSG00000201441.1",0,0,1,0,0,0,0,0
"ENSG00000180370.10",1737,1521,1904,1291,1997,2619,1751,1784
"ENSG00000272359.1",0,1,0,1,0,2,0,0
"ENSG00000206892.1",1,1,3,0,4,4,3,0
"ENSG00000119231.10",587,584,775,542,835,1050,576,673
"ENSG00000230732.4",3,2,8,2,8,3,0,0
"ENSG00000114503.10",1473,1265,1618,919,1871,2308,1267,1206
"ENSG00000225578.1",8,5,6,6,10,7,2,9
"ENSG00000270170.1",121,141,118,88,134,146,89,116
"ENSG00000119227.7",207,247,152,109,126,222,136,202
"ENSG00000233487.6",1,1,4,1,5,4,5,3
"ENSG00000163975.11",241,227,358,198,173,214,291,280
"ENSG00000228109.1",39,31,48,20,56,28,41,26
"ENSG00000075711.20",1165,1053,1395,960,1593,1774,1181,1312
"ENSG00000265850.1",0,0,0,0,0,0,0,0
"ENSG00000227375.5",0,0,0,0,0,1,0,0
"ENSG00000235126.1",0,0,0,0,0,0,0,0
"ENSG00000229912.1",0,0,1,0,1,0,0,1
"ENSG00000237167.1",0,0,0,0,0,0,0,0
"ENSG00000272989.1",1,0,0,1,1,1,0,0
"ENSG00000161267.11",37,97,47,44,42,162,23,82
"ENSG00000214135.8",296,230,354,189,423,401,239,264
"ENSG00000213519.2",0,0,0,0,0,0,3,2
"ENSG00000249626.1",12,4,19,11,14,9,14,4
"ENSG00000273308.1",11,2,5,1,3,8,5,2
"ENSG00000236833.1",1,1,0,0,2,1,8,7
"ENSG00000145016.15",351,435,391,316,435,575,329,475
"ENSG00000284146.1",0,0,0,0,0,0,0,0
"ENSG00000122068.12",1221,1121,1347,913,1498,1715,1148,1188
"ENSG00000273375.1",0,0,0,0,0,1,1,1
"ENSG00000186001.13",1366,1328,1642,900,1666,2039,1137,1312
"ENSG00000234136.1",0,0,0,0,0,1,0,0
"ENSG00000234742.1",24,20,20,15,34,30,23,19
"ENSG00000114473.13",207,207,284,140,266,361,200,194
"ENSG00000199306.1",0,1,0,0,0,0,0,0
"ENSG00000182899.16",6487,5826,6451,3642,5903,6865,4619,4464
"ENSG00000185621.11",420,303,565,257,693,610,411,387
"ENSG00000201622.1",0,1,0,0,0,0,0,0
"ENSG00000232832.1",0,0,0,0,0,0,0,0
"ENSG00000226435.10",0,0,0,0,0,0,0,0
"ENSG00000212297.1",0,0,0,0,0,0,0,0
"ENSG00000232783.5",0,1,0,0,0,0,0,0
